#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
49,evergage,1,1,,2200,https://www.evergage.com/resources/ebooks/gartner-magic-quadrant-for-personalization-engines/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
50,data science workbench,7,7,,300,https://www.evergage.com/modules/data-science-workbench/,4,13,7,1/11/2020 7:40,,"Adwords top, Sitelinks, People also ask, Video, Image pack, Thumbnail",evergage.com
51,personalization messages,3,2,11/28/2019 14:30,100,https://www.evergage.com/blog/intro-5-main-types-of-personalization-messages/,5,13,2,12/26/2019 12:58,,"Shopping results, Thumbnail, Featured snippet, People also ask, Sitelinks, Top stories, Image pack",evergage.com
52,cro program,12,11,1/9/2020 21:16,800,https://www.evergage.com/blog/breathe-new-life-cro-program-testing-tips-top-experts/,6,13,3,1/17/2020 14:57,,"Adwords top, Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
53,churn rate calculation,5,6,12/12/2019 19:14,150,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,26,12,8,1/11/2020 22:41,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
54,customer segment,9,9,,1000,https://www.evergage.com/blog/what-is-customer-segmentation/,26,12,,1/16/2020 6:24,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
55,evergage careers,1,1,,30,https://www.evergage.com/careers/,3,12,,1/10/2020 2:36,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Video",evergage.com
56,golden question,3,3,,100,https://www.evergage.com/blog/asking-golden-questions-using-surveys-as-part-of-your-personalization-strategy/,0,12,0.7,1/19/2020 21:51,,"Top stories, Thumbnail, Knowledge panel",evergage.com
57,churn rate formula,7,7,,350,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,12,7,12/30/2019 7:37,,"Featured snippet, Thumbnail, Image pack, Top stories",evergage.com
58,churn calculation,6,4,11/28/2019 9:02,200,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,24,12,5,12/25/2019 17:00,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack, Top stories",evergage.com
59,calculating customer churn,1,1,,30,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,31,11,7,12/24/2019 5:33,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
60,conversion rate optimization tips,2,2,,70,https://www.evergage.com/blog/9-uncommon-conversion-rate-optimization-tips-you-can-use-today/,22,11,,1/18/2020 16:02,,"Knowledge card, Sitelinks, People also ask, Adwords bottom",evergage.com
61,touch point,14,14,,2800,https://www.evergage.com/blog/six-ways-create-great-first-touchpoint-experience-0/,50,11,6,1/21/2020 10:58,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Top stories",evergage.com
62,popmessage,3,2,12/19/2019 4:48,90,https://www.evergage.com/blog/create-effective-pop-message/,13,11,2,1/19/2020 0:12,,"Top stories, Thumbnail, People also ask, Sitelinks, Knowledge panel",evergage.com
63,how to calculate customer churn,1,1,,30,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,31,11,8,12/26/2019 11:51,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
64,customer engagement score,1,1,,30,https://www.evergage.com/blog/what-customer-engagement-score/,6,10,,1/20/2020 19:39,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
65,cohort report,3,3,,90,https://www.evergage.com/blog/what-cohort-reporting/,38,10,,12/29/2019 23:35,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",evergage.com
66,notice of filming and photography,2,1,12/17/2019 11:05,70,https://www.evergage.com/filming-and-photography-disclosure/,0,10,,1/16/2020 15:12,,"Featured snippet, Thumbnail",evergage.com
67,personalization technology,2,1,12/17/2019 16:02,70,https://www.evergage.com/blog/what-to-look-for-in-personalization-technology-for-2019/,3,10,4,1/16/2020 20:24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
68,client retention rate,4,3,11/27/2019 13:28,100,https://www.evergage.com/blog/how-calculate-customer-retention/,19,10,8,12/24/2019 15:12,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
69,customer engagement analytics,1,1,,30,https://www.evergage.com/blog/customer-engagement-analytics-5-steps-success/,12,10,18,12/25/2019 3:39,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",evergage.com
70,engagement score,3,3,,80,https://www.evergage.com/blog/what-customer-engagement-score/,2,10,9,1/20/2020 8:38,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
71,notice of filming and photography template,4,4,,100,https://www.evergage.com/filming-and-photography-disclosure/,0,10,,1/14/2020 17:12,,Image pack,evergage.com
72,behavioral tracking,5,5,,250,https://www.evergage.com/platform/behavioral-tracking/,13,10,,1/1/2020 8:46,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
73,what is customer segmentation,5,6,12/2/2019 23:41,250,https://www.evergage.com/blog/what-is-customer-segmentation/,11,10,11,12/31/2019 22:32,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",evergage.com
74,personalisation definition,3,3,,80,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,11,10,,1/4/2020 11:01,,"Knowledge card, People also ask",evergage.com
75,personalozation,6,4,12/10/2019 20:28,150,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,49,10,2.5,1/10/2020 17:19,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask",evergage.com
76,shoppers comparison,10,44,12/7/2019 9:38,400,https://www.evergage.com/blog/recognize-convert-comparison-shoppers-holiday-season/,34,10,1.2,1/7/2020 14:10,,"Featured snippet, Sitelinks, People also ask, Image pack",evergage.com
77,data scientist workbench,7,7,,200,https://www.evergage.com/modules/data-science-workbench/,12,9,7,1/9/2020 5:01,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",evergage.com
78,retention calculation,5,4,12/5/2019 6:30,100,https://www.evergage.com/blog/how-calculate-customer-retention/,11,9,3,1/5/2020 9:43,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
79,boston techjam,7,6,11/29/2019 12:44,200,https://www.evergage.com/events/boston-techjam/,0,9,,12/27/2019 4:06,,"Sitelinks, Image pack, Top stories, Thumbnail",evergage.com
80,martech boston,7,14,12/4/2019 2:12,200,https://www.evergage.com/events/martech-boston/,2,9,,1/3/2020 16:39,,"Sitelinks, Top stories, Thumbnail, Video",evergage.com
81,persinalization,6,4,12/1/2019 1:43,150,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,48,9,2.5,12/31/2019 2:00,,"Adwords top, Sitelinks, People also ask, Shopping results, Thumbnail, Image pack",evergage.com
82,filming notice,4,2,12/11/2019 15:16,90,https://www.evergage.com/filming-and-photography-disclosure/,0,8,,1/10/2020 22:23,,"Top stories, Thumbnail, Knowledge panel",evergage.com
83,personalized technology,1,1,,20,https://www.evergage.com/blog/what-to-look-for-in-personalization-technology-for-2019/,1,8,4,1/11/2020 20:21,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",evergage.com
84,personalization technologies,1,3,11/28/2019 6:55,20,https://www.evergage.com/blog/what-to-look-for-in-personalization-technology-for-2019/,17,8,8,12/26/2019 10:24,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
85,calculate churn,4,4,,80,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,8,5,1/8/2020 15:17,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
86,omnichannel personalization,2,2,,50,https://www.evergage.com/blog/what-is-omnichannel-personalization/,2,8,25,1/2/2020 16:57,,"Adwords top, Top stories, Thumbnail, Image pack, Adwords bottom, Sitelinks",evergage.com
87,calculate churn rate,6,6,,150,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,8,8,12/28/2019 2:42,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
88,what is churn rate,8,9,1/13/2020 22:15,600,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,41,8,8,1/22/2020 19:52,,"People also ask, Top stories, Thumbnail",evergage.com
89,definition of personalization,4,4,,80,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,12,8,,12/29/2019 23:42,,"Knowledge card, People also ask",evergage.com
90,personalization trends,2,2,,50,https://www.evergage.com/blog/personalization-trends-2019-survey-results/,2,8,2,12/27/2019 0:37,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack",evergage.com
91,calculate retention rate,6,5,12/3/2019 5:30,250,https://www.evergage.com/blog/how-calculate-customer-retention/,10,7,3,1/2/2020 7:55,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
92,customer rate,1,1,,20,https://www.evergage.com/blog/how-calculate-customer-retention/,14,7,,1/13/2020 12:33,Featured snippet,"Featured snippet, Thumbnail, People also ask, Image pack",evergage.com
93,pop up blogs,1,4,12/21/2019 4:18,20,https://www.evergage.com/blog/secret-pleasant-pop-ups/,6,7,,1/21/2020 12:07,,"People also ask, Top stories, Thumbnail",evergage.com
94,define personalization,3,4,12/8/2019 14:34,350,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,14,7,2.5,1/8/2020 17:22,,"Knowledge card, People also ask, Sitelinks",evergage.com
95,popup message,4,1,11/30/2019 17:06,80,https://www.evergage.com/blog/create-effective-pop-message/,10,7,0.7,12/29/2019 11:25,,"People also ask, Sitelinks, Image pack, Top stories, Thumbnail, Adwords bottom",evergage.com
96,personization,5,6,12/15/2019 21:06,90,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,47,7,2.5,1/15/2020 7:38,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Shopping results, Thumbnail",evergage.com
97,calculate customer retention rate,3,3,,60,https://www.evergage.com/blog/how-calculate-customer-retention/,14,7,25,1/22/2020 13:47,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
98,customer data platform,21,22,1/7/2020 18:58,1700,https://www.evergage.com/platform/customer-data-platform/,24,7,35,1/15/2020 12:11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
99,calculating retention rate,5,5,,90,https://www.evergage.com/blog/how-calculate-customer-retention/,10,7,,1/19/2020 20:59,,"Featured snippet, Thumbnail, Top stories",evergage.com
100,personalization technology,4,3,12/17/2019 16:02,70,https://www.evergage.com/blog/what-look-for-personalization-technology-for-2018/,3,7,4,1/16/2020 20:24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
101,personalization define,5,5,,90,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,13,7,,1/20/2020 11:22,,"Knowledge card, People also ask, Sitelinks",evergage.com
102,customer retention formula,3,3,,60,https://www.evergage.com/blog/how-calculate-customer-retention/,18,7,,12/30/2019 22:11,,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories, Adwords bottom, Sitelinks",evergage.com
103,improve customer experiences,10,3,12/4/2019 18:18,250,https://www.evergage.com/blog/10-ways-improve-customer-experience-5-minutes/,26,6,30,1/4/2020 4:00,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
104,measure customer retention,4,4,,70,https://www.evergage.com/blog/how-calculate-customer-retention/,14,6,,1/15/2020 19:31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
105,personalize homepage,4,1,12/17/2019 7:27,70,https://www.evergage.com/blog/7-ways-personalize-your-homepage-boost-engagement/,26,6,2,1/16/2020 19:05,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
106,technical person,7,6,12/21/2019 3:49,150,https://www.evergage.com/blog/not-technical-person-excuse-personalization-summit/,0,6,,1/21/2020 13:08,,"Featured snippet, Thumbnail, People also ask, Top stories, Video",evergage.com
107,retention calculation,1,1,,100,http://www.evergage.com/blog/how-calculate-customer-retention/,11,6,3,1/5/2020 9:43,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
108,customer financial services,6,5,12/4/2019 5:57,100,https://www.evergage.com/blog/top-financial-services-customer-experience-trends-2018/,2,6,9,1/4/2020 7:51,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
109,pop message,4,3,12/15/2019 15:11,60,https://www.evergage.com/blog/create-effective-pop-message/,9,6,0.1,1/15/2020 13:52,,"Top stories, Thumbnail, Sitelinks, Video, Knowledge panel",evergage.com
110,personalizations,7,9,11/30/2019 21:22,500,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,32,6,2.5,12/28/2019 23:05,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Shopping results, Image pack",evergage.com
111,customer churn calculation,3,3,,50,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,6,12,1/12/2020 12:24,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
112,define customer segments,6,6,,100,https://www.evergage.com/blog/what-is-customer-segmentation/,26,6,2,1/20/2020 12:40,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
113,conversion optimization tips,5,5,,80,https://www.evergage.com/blog/9-uncommon-conversion-rate-optimization-tips-you-can-use-today/,23,6,,12/31/2019 22:21,,"Featured snippet, Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
114,improving customer experience,6,4,11/29/2019 4:12,100,https://www.evergage.com/blog/10-ways-improve-customer-experience-5-minutes/,30,6,35,12/27/2019 7:02,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Image pack, Adwords bottom",evergage.com
115,customer engagement social media,4,5,11/28/2019 4:13,60,https://www.evergage.com/blog/6-social-media-customer-engagement-tips/,11,6,20,12/26/2019 9:28,,"People also ask, Top stories, Thumbnail, Knowledge panel",evergage.com
116,personalize websites,10,9,12/21/2019 21:54,250,https://www.evergage.com/blog/45-ways-personalize-your-website/,16,6,8,1/21/2020 12:40,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
117,how to measure customer retention,4,3,12/4/2019 22:20,60,https://www.evergage.com/blog/how-calculate-customer-retention/,13,6,1.9,1/3/2020 15:02,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
118,personalization apps,12,11,12/19/2019 17:01,350,https://www.evergage.com/platform/mobile-app/,19,6,4,1/19/2020 14:16,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
119,pop up messages,6,5,12/14/2019 14:08,90,https://www.evergage.com/blog/create-effective-pop-message/,6,6,0.9,1/14/2020 5:02,,"People also ask, Top stories, Thumbnail, Knowledge panel",evergage.com
120,katie sweet,13,11,1/10/2020 11:41,600,https://www.evergage.com/blog/author/khrdy/,0,6,,1/19/2020 11:40,,Thumbnail,evergage.com
121,calculating retention rate,1,1,,90,https://www.evergage.com/blog/how-calculate-customer-retention/,10,5,,1/19/2020 20:59,Featured snippet,"Featured snippet, Thumbnail, Top stories",evergage.com
122,what are customer segments,7,7,,100,https://www.evergage.com/blog/what-is-customer-segmentation/,17,5,,1/17/2020 23:05,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
123,personalized homepage,6,6,,80,https://www.evergage.com/blog/7-ways-personalize-your-homepage-boost-engagement/,26,5,3.5,1/16/2020 22:49,,"Adwords top, Sitelinks, People also ask, Knowledge panel",evergage.com
124,revenue churn,5,5,,70,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,7,5,14,1/14/2020 22:00,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
125,customer churn rate,8,7,11/30/2019 13:54,200,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,40,5,9,12/28/2019 23:39,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
126,monthly churn,3,1,11/28/2019 8:04,40,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,50,5,7,12/25/2019 18:35,,"People also ask, Sitelinks",evergage.com
127,siriusdecisions summit,12,13,12/10/2019 17:13,350,https://www.evergage.com/events/sirius-decisions-summit/,0,5,,1/10/2020 10:19,,"Sitelinks, Top stories, Thumbnail, Image pack",evergage.com
128,csm sales,3,3,,40,https://www.evergage.com/blog/should-csm-be-responsible-upsells-cross-sales-and-renewals/,2,4.8,,1/23/2020 2:54,,"People also ask, Top stories, Thumbnail",evergage.com
129,etail east,14,11,1/12/2020 1:05,700,https://www.evergage.com/events/etaileast/,7,4.8,,1/21/2020 19:01,,"Adwords top, Sitelinks, Top stories, Thumbnail",evergage.com
130,what is a churn rate,9,8,12/11/2019 22:41,150,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,39,4.7,,1/11/2020 10:59,,"People also ask, Top stories, Thumbnail, Sitelinks",evergage.com
131,personaliztion,6,6,,80,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,49,4.6,1.7,1/14/2020 9:07,,"Adwords top, Sitelinks, People also ask",evergage.com
132,how to calculate revenue churn,1,1,,10,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,3,4.5,8,1/9/2020 10:10,Featured snippet,"Featured snippet, Thumbnail, Top stories",evergage.com
133,churn report,4,3,11/28/2019 20:11,50,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,30,4.5,,12/26/2019 12:16,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",evergage.com
134,shoptalk las vegas,9,12,12/22/2019 21:47,150,https://www.evergage.com/events/shoptalk/,4,4.4,,1/22/2020 10:16,,"Sitelinks, Top stories, Thumbnail",evergage.com
135,evergage careers,2,2,,30,https://www.evergage.com/,3,4.4,,1/10/2020 2:36,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Video",evergage.com
136,customer churn,20,22,1/9/2020 21:37,2300,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,34,4.4,15,1/17/2020 12:54,,"People also ask, Adwords bottom, Sitelinks",evergage.com
